property_id,price,size_sqft,property_type,year_built,status,location_id,agent_id
45,200.0,600,Plot  Area,2011,Ready To Move,36.0,69
46,33.0,970,Super built-up  Area,2019,Ready To Move,37.0,82
47,94.82,1459,Super built-up  Area,2000,20-Sep,5.0,88
48,130.0,800,Plot  Area,2010,Ready To Move,38.0,99
49,36.0,869,Built-up  Area,2008,Ready To Move,39.0,67
50,50.0,1270,Super built-up  Area,2000,Ready To Move,40.0,15
51,99.0,1670,Super built-up  Area,2007,18-Mar,41.0,76
52,91.0,2010,Built-up  Area,2019,Ready To Move,5.0,58
53,75.0,1185,Super built-up  Area,2000,Ready To Move,42.0,27
54,75.0,1600,Super built-up  Area,2005,Ready To Move,26.0,38
55,44.0,1200,Super built-up  Area,2007,Ready To Move,43.0,83
56,192.0,3010 - 3410,Built-up  Area,2009,20-Feb,44.0,2
57,185.0,1500,Super built-up  Area,2001,Ready To Move,16.0,13
58,150.0,1407,Plot  Area,2017,Ready To Move,33.0,79
59,45.0,840,Super built-up  Area,2006,Ready To Move,45.0,25
60,240.0,4395,Plot  Area,2000,Ready To Move,46.0,84
61,55.0,845,Super built-up  Area,2015,Ready To Move,35.0,62
62,650.0,5700,Plot  Area,2011,Ready To Move,5.0,42
63,44.0,1160,Built-up  Area,2016,Ready To Move,47.0,57
64,140.0,3000,Built-up  Area,2016,Ready To Move,48.0,9
65,62.0,1100,Super built-up  Area,2005,Ready To Move,37.0,92
66,43.0,1140,Super built-up  Area,2010,18-Apr,49.0,98
67,57.0,1220,Super built-up  Area,2007,Ready To Move,8.0,21
68,85.0,1350,Plot  Area,2015,Ready To Move,50.0,96
69,36.68,1005,Super built-up  Area,2000,Ready To Move,29.0,67
70,100.0,500,Plot  Area,2013,Ready To Move,51.0,49
71,80.58,1358,Super built-up  Area,2009,20-Aug,43.0,68
72,101.0,1569,Super built-up  Area,2005,Ready To Move,52.0,84
73,70.0,1240,Super built-up  Area,2020,18-Apr,53.0,12
74,140.0,2089,Super built-up  Area,2014,Ready To Move,54.0,81
75,48.23,1206,Super built-up  Area,2000,Ready To Move,55.0,74
76,40.0,1150,Super built-up  Area,2000,Ready To Move,56.0,82
77,205.0,2511,Built-up  Area,2003,Ready To Move,57.0,34
78,22.0,460,Built-up  Area,2013,Ready To Move,58.0,55
79,250.0,4400,Built-up  Area,2020,Ready To Move,59.0,48
80,105.0,1660,Super built-up  Area,2012,Ready To Move,60.0,51
81,224.5,2957 - 3450,Built-up  Area,2010,18-Oct,54.0,41
82,78.0,1326,Super built-up  Area,2021,19-Mar,26.0,88
83,60.8,1325,Super built-up  Area,2012,Ready To Move,61.0,14
84,102.0,1499,Super built-up  Area,2014,Ready To Move,62.0,58
85,210.0,3000,Built-up  Area,2003,Ready To Move,52.0,37
86,88.0,1665,Super built-up  Area,2003,Ready To Move,29.0,35
87,37.0,708,Super built-up  Area,2018,17-Sep,63.0,96
88,58.06,1060,Super built-up  Area,2022,Ready To Move,64.0,87
89,160.0,710,Plot  Area,2019,Ready To Move,7.0,45
90,70.0,1000,Built-up  Area,2006,Ready To Move,65.0,44
91,28.88,1000,Super built-up  Area,2009,18-Dec,24.0,56
92,70.0,1450,Super built-up  Area,2003,Ready To Move,66.0,56
93,155.0,1200,Plot  Area,2006,Ready To Move,59.0,11
94,80.0,1296,Super built-up  Area,2021,17-Aug,20.0,3
95,90.0,1540,Super built-up  Area,2011,Ready To Move,67.0,86
96,245.0,2894,Plot  Area,2000,Ready To Move,18.0,34
97,48.0,1330,Super built-up  Area,2011,Ready To Move,68.0,95
98,65.0,1200,Built-up  Area,2002,Ready To Move,69.0,99
99,90.0,1200,Built-up  Area,2006,Ready To Move,70.0,27
100,138.0,2502,Super built-up  Area,2007,Ready To Move,71.0,12
101,17.0,650,Built-up  Area,2002,Ready To Move,72.0,81
102,150.0,2400,Plot  Area,2003,Ready To Move,4.0,13
103,43.0,1007,Super built-up  Area,2017,Ready To Move,73.0,43
104,50.0,1200,Super built-up  Area,2004,Ready To Move,74.0,59
105,49.9,966,Super built-up  Area,2004,Ready To Move,75.0,9
106,98.0,1630,Built-up  Area,2009,Ready To Move,76.0,33
107,229.0,1640,Built-up  Area,2016,Ready To Move,7.0,95
108,55.68,782,Built-up  Area,2008,Ready To Move,77.0,55
109,66.78,1260,Super built-up  Area,2015,19-Apr,44.0,70
110,120.0,1800,Super built-up  Area,2005,Ready To Move,78.0,97
111,75.0,1413,Super built-up  Area,2016,Ready To Move,79.0,49
112,51.91,1116,Super built-up  Area,2004,Ready To Move,5.0,94
113,45.9,1530,Super built-up  Area,2013,Ready To Move,24.0,29
114,225.0,3700,Built-up  Area,2009,Ready To Move,80.0,3
115,140.0,2497,Built-up  Area,2000,Ready To Move,34.0,4
116,64.0,1540,Super built-up  Area,2020,Ready To Move,18.0,14
117,74.75,1436,Super built-up  Area,2009,18-Dec,20.0,67
118,75.0,1100,Super built-up  Area,2021,18-Jun,81.0,86
119,23.0,276,Plot  Area,2001,Ready To Move,54.0,8
120,120.0,1427,Super built-up  Area,2014,Ready To Move,20.0,15
121,200.0,2061,Super built-up  Area,2014,Ready To Move,82.0,5
122,477.0,3067 - 8156,Super built-up  Area,2019,18-Mar,27.0,49
123,150.0,2650,Built-up  Area,2008,Ready To Move,83.0,70
124,68.52,1282,Super built-up  Area,2015,22-Dec,44.0,1
125,34.0,1050,Built-up  Area,2011,Ready To Move,84.0,81
126,65.0,1600,Built-up  Area,2008,Ready To Move,85.0,48
127,54.0,945,Super built-up  Area,2014,22-Jan,86.0,55
128,78.0,1500,Super built-up  Area,2008,Ready To Move,87.0,12
129,115.0,950,Plot  Area,2021,Ready To Move,88.0,8
130,110.0,1870,Built-up  Area,2008,Ready To Move,75.0,29
131,75.0,1600,Plot  Area,2022,Ready To Move,12.0,58
132,16.5,880,Super built-up  Area,2022,Ready To Move,24.0,83
133,210.0,1200,Plot  Area,2017,Ready To Move,89.0,74
134,83.0,1535,Super built-up  Area,2022,Ready To Move,90.0,49
135,57.0,950,Built-up  Area,2022,Ready To Move,29.0,8
136,65.0,1360,Super built-up  Area,2022,18-Aug,44.0,0
137,54.005,1042 - 1105,Super built-up  Area,2019,19-Mar,91.0,43
138,50.4,1280,Super built-up  Area,2010,18-May,92.0,51
139,85.05,1260,Super built-up  Area,2019,19-Jan,93.0,73
140,250.0,5000,Built-up  Area,2002,Ready To Move,54.0,43
141,213.0,3050,Super built-up  Area,2016,19-Dec,26.0,53
142,105.0,1563.05,Super built-up  Area,2012,Ready To Move,64.0,89
143,60.0,1000,Super built-up  Area,2013,Ready To Move,59.0,50
144,43.76,1167,Super built-up  Area,2022,17-Jul,94.0,0
145,225.0,4000,Super built-up  Area,2017,Ready To Move,95.0,32
146,110.0,1828,Super built-up  Area,2019,Ready To Move,4.0,64
147,35.0,890,Super built-up  Area,2014,Ready To Move,96.0,83
148,46.74,1612,Super built-up  Area,2012,Ready To Move,97.0,84
149,185.0,1034,Plot  Area,2007,Ready To Move,98.0,42
150,91.31,1710,Super built-up  Area,2018,19-Apr,13.0,68
151,58.0,957,Super built-up  Area,2001,Ready To Move,99.0,4
152,44.0,1250,Super built-up  Area,2020,18-May,100.0,11
153,235.0,2795,Super built-up  Area,2019,Ready To Move,101.0,51
154,50.0,1125,Super built-up  Area,2003,Ready To Move,102.0,74
155,30.6,1020,Super built-up  Area,2000,18-Jul,0.0,60
156,50.0,1200,Super built-up  Area,2018,Ready To Move,56.0,15
157,135.0,1735,Super built-up  Area,2008,Ready To Move,20.0,33
158,145.0,2050,Super built-up  Area,2002,Ready To Move,20.0,26
159,760.0,3750,Plot  Area,2015,Ready To Move,103.0,60
160,48.0,1350,Built-up  Area,2006,Ready To Move,104.0,74
161,32.0,1063,Super built-up  Area,2001,18-May,105.0,46
162,150.0,1904,Super built-up  Area,2016,Ready To Move,106.0,28
163,420.0,4200,Built-up  Area,2014,Ready To Move,5.0,30
164,175.0,2000,Super built-up  Area,2003,Ready To Move,107.0,86
165,43.49,1145 - 1340,Super built-up  Area,2016,18-Dec,12.0,52
166,75.0,1425,Super built-up  Area,2022,Ready To Move,108.0,36
167,64.5,1500,Super built-up  Area,2022,Ready To Move,24.0,83
168,60.0,1060,Built-up  Area,2005,Ready To Move,24.0,12
169,70.0,1470,Built-up  Area,2013,Ready To Move,109.0,25
170,99.0,1300,Super built-up  Area,2007,Ready To Move,110.0,4
171,11.0,450,Super built-up  Area,2011,Ready To Move,111.0,86
172,64.5,1152,Super built-up  Area,2014,18-Apr,24.0,34
173,56.0,1350,Super built-up  Area,2022,Ready To Move,24.0,49
174,65.0,1550,Super built-up  Area,2000,Ready To Move,112.0,20
175,100.0,1500,Plot  Area,2021,Ready To Move,113.0,73
176,85.0,600,Plot  Area,2009,Ready To Move,114.0,31
177,14.0,400,Plot  Area,2021,Ready To Move,115.0,33
178,67.0,705,Super built-up  Area,2002,Ready To Move,81.0,66
179,36.0,770,Built-up  Area,2020,Ready To Move,24.0,46
180,51.0,1242,Super built-up  Area,2020,Ready To Move,102.0,74
181,155.0,1700,Super built-up  Area,2012,Ready To Move,116.0,18
182,145.0,2144,Super built-up  Area,2010,Ready To Move,20.0,91
183,110.0,1704,Super built-up  Area,2015,21-Jun,117.0,81
184,52.0,1070,Super built-up  Area,2007,Ready To Move,24.0,90
185,300.0,1846,Plot  Area,2004,Ready To Move,118.0,2
186,55.7,1340,Super built-up  Area,2017,Ready To Move,119.0,34
187,46.0,1025,Built-up  Area,2006,Ready To Move,24.0,11
188,56.8,1015 - 1540,Super built-up  Area,2022,Ready To Move,38.0,71
189,52.0,1200,Super built-up  Area,2020,Ready To Move,8.0,66
190,110.0,2250,Built-up  Area,2005,18-Dec,29.0,30
191,80.0,1550,Super built-up  Area,2006,Ready To Move,120.0,23
192,325.0,1200,Plot  Area,2018,Ready To Move,21.0,68
193,250.0,1800,Plot  Area,2017,Ready To Move,121.0,90
194,60.0,1200,Super built-up  Area,2011,Ready To Move,8.0,14
195,98.0,1327,Super built-up  Area,2019,Ready To Move,26.0,54
196,58.0,1186,Super built-up  Area,2010,Ready To Move,4.0,38
197,115.0,1783,Built-up  Area,2010,Ready To Move,122.0,3
198,56.0,1400,Super built-up  Area,2004,Ready To Move,36.0,2
199,48.0,980,Super built-up  Area,2000,Ready To Move,123.0,41
200,82.0,1285,Super built-up  Area,2013,Ready To Move,62.0,17
201,70.0,912,Super built-up  Area,2013,Ready To Move,124.0,8
202,47.6,1225,Built-up  Area,2016,Ready To Move,5.0,88
203,53.0,1075,Super built-up  Area,2000,Ready To Move,5.0,89
204,54.0,1260,Built-up  Area,2000,Ready To Move,84.0,43
205,48.7,1282,Super built-up  Area,2009,Ready To Move,26.0,20
206,88.0,1909,Super built-up  Area,2014,Ready To Move,125.0,24
207,87.0,1359,Super built-up  Area,2007,Ready To Move,126.0,53
208,43.5,1207,Built-up  Area,2011,Ready To Move,127.0,81
209,190.0,1736,Plot  Area,2011,Ready To Move,128.0,48
210,428.0,2850,Super built-up  Area,2002,20-May,129.0,25
211,65.0,1595,Super built-up  Area,2013,Ready To Move,130.0,91
212,89.0,1798,Built-up  Area,2018,18-Jun,131.0,46
213,78.29,1475,Super built-up  Area,2021,Ready To Move,30.0,70
214,100.0,1580,Super built-up  Area,2003,Ready To Move,132.0,85
215,65.0,1295,Super built-up  Area,2013,Ready To Move,133.0,90
216,141.0,3600,Built-up  Area,2021,Ready To Move,134.0,84
217,27.0,589,Super built-up  Area,2015,Ready To Move,24.0,14
218,78.0,1415,Super built-up  Area,2017,Ready To Move,135.0,20
219,98.29,1787,Super built-up  Area,2014,18-Dec,34.0,9
220,125.0,1787,Super built-up  Area,2021,Ready To Move,34.0,34
221,90.0,1475,Super built-up  Area,2016,Ready To Move,136.0,92
222,75.5,2000,Built-up  Area,2013,Ready To Move,137.0,80
223,44.28,984,Super built-up  Area,2021,19-Mar,34.0,96
224,74.82,1520 - 1740,Super built-up  Area,2014,19-Dec,44.0,75
225,260.0,2405,Super built-up  Area,2008,Ready To Move,138.0,96
226,72.0,1080,Built-up  Area,2002,Ready To Move,10.0,64
227,115.0,1500,Plot  Area,2014,Ready To Move,74.0,82
228,119.0,1900,Super built-up  Area,2015,Ready To Move,27.0,9
229,22.14,805,Super built-up  Area,2019,19-Aug,139.0,35
230,56.4,1153,Super built-up  Area,2003,Ready To Move,140.0,80
231,60.0,1148,Super built-up  Area,2013,Ready To Move,141.0,0
232,55.0,1110,Super built-up  Area,2014,Ready To Move,142.0,25
233,42.0,1100,Built-up  Area,2017,Ready To Move,24.0,39
234,110.0,1290,Super built-up  Area,2019,Ready To Move,143.0,80
235,65.0,1500,Super built-up  Area,2018,Ready To Move,144.0,37
236,39.0,1080,Super built-up  Area,2003,18-Apr,145.0,37
237,129.0,1933,Super built-up  Area,2011,21-Jun,117.0,5
238,150.0,3500,Built-up  Area,2006,Ready To Move,80.0,90
239,60.0,1060,Built-up  Area,2013,Ready To Move,146.0,29
240,16.45,645,Super built-up  Area,2003,18-Aug,72.0,91
241,180.0,2600,Plot  Area,2003,Ready To Move,147.0,78
242,16.45,645,Super built-up  Area,2004,18-Sep,72.0,81
243,84.0,1644,Super built-up  Area,2017,Ready To Move,148.0,20
244,72.5,1285,Super built-up  Area,2000,Ready To Move,149.0,69
245,90.0,1200,Plot  Area,2012,Ready To Move,24.0,80
246,40.0,910,Super built-up  Area,2015,Ready To Move,24.0,46
247,70.0,1577,Super built-up  Area,2005,Ready To Move,4.0,63
248,280.0,4050,Plot  Area,2007,17-May,150.0,37
249,185.0,2420,Super built-up  Area,2012,Ready To Move,151.0,16
250,20.0,800,Super built-up  Area,2010,Ready To Move,72.0,59
251,55.0,1060,Built-up  Area,2016,Ready To Move,152.0,43
252,93.0,1270,Super built-up  Area,2021,Ready To Move,10.0,20
253,22.5,900,Super built-up  Area,2005,18-Jun,153.0,24
254,69.0,1280,Built-up  Area,2003,Ready To Move,154.0,76
255,95.0,1200,Plot  Area,2004,Ready To Move,155.0,57
256,36.0,1025,Built-up  Area,2022,Ready To Move,34.0,57
257,63.0,1108,Super built-up  Area,2005,17-Jun,24.0,41
258,170.0,1200,Plot  Area,2013,Ready To Move,156.0,34
259,170.0,3045,Super built-up  Area,2016,Ready To Move,157.0,66
260,300.0,2900,Plot  Area,2019,Ready To Move,158.0,70
261,75.5,1500,Super built-up  Area,2004,Ready To Move,117.0,81
262,43.9,1295,Super built-up  Area,2019,Ready To Move,15.0,91
263,59.9,1162,Super built-up  Area,2016,Ready To Move,140.0,92
264,49.2,1035,Super built-up  Area,2002,Ready To Move,34.0,90
265,52.8,1600,Built-up  Area,2019,Ready To Move,111.0,88
266,46.0,1464,Super built-up  Area,2002,Ready To Move,159.0,44
267,61.58,1866,Super built-up  Area,2006,18-Oct,54.0,47
268,26.0,700,Super built-up  Area,2007,Ready To Move,160.0,57
269,120.0,1804,Super built-up  Area,2020,Ready To Move,56.0,30
270,32.0,913,Super built-up  Area,2017,Ready To Move,12.0,2
271,131.0,1868,Super built-up  Area,2005,21-Dec,161.0,48
272,45.0,883,Built-up  Area,2014,Ready To Move,96.0,61
273,110.0,900,Plot  Area,2007,Ready To Move,162.0,26
274,73.95,1664,Super built-up  Area,2021,Ready To Move,125.0,27
275,132.0,2026,Super built-up  Area,2002,Ready To Move,52.0,62
276,80.9,1210,Super built-up  Area,2007,Ready To Move,163.0,57
277,250.0,4111,Plot  Area,2022,Ready To Move,150.0,88
278,91.45,1762,Super built-up  Area,2011,Ready To Move,84.0,22
279,55.0,1252,Super built-up  Area,2001,Ready To Move,164.0,27
280,34.5,861,Built-up  Area,2002,Ready To Move,165.0,24
281,100.0,1420,Built-up  Area,2013,Ready To Move,10.0,20
282,250.0,1450,Plot  Area,2002,Ready To Move,166.0,53
283,78.8,1490,Built-up  Area,2001,Ready To Move,30.0,53
284,46.0,1075,Super built-up  Area,2006,Ready To Move,14.0,73
285,94.0,1425,Super built-up  Area,2011,18-Aug,167.0,16
286,40.0,1200,Built-up  Area,2005,Ready To Move,56.0,33
287,56.0,1280,Super built-up  Area,2001,Ready To Move,168.0,0
288,50.0,1084,Super built-up  Area,2014,Ready To Move,169.0,60
289,25.88,1015,Super built-up  Area,2018,18-Jul,72.0,14
290,51.25,1017,Super built-up  Area,2010,21-May,29.0,67
291,44.0,1027,Super built-up  Area,2014,Ready To Move,53.0,6
292,45.0,1069,Super built-up  Area,2017,Ready To Move,0.0,55
293,98.2,1349,Super built-up  Area,2009,Ready To Move,27.0,29
294,50.0,1005,Super built-up  Area,2007,Ready To Move,170.0,88
295,75.0,1417,Super built-up  Area,2009,Ready To Move,171.0,81
296,98.0,1475,Plot  Area,2018,18-Jan,172.0,54
297,47.0,950,Carpet  Area,2021,Ready To Move,173.0,34
298,120.0,2000,Super built-up  Area,2012,Ready To Move,174.0,20
299,140.0,880,Plot  Area,2014,Ready To Move,175.0,39
300,104.0,1863,Super built-up  Area,2005,Ready To Move,34.0,18
301,29.5,1010,Super built-up  Area,2008,Ready To Move,176.0,11
302,70.0,1425,Super built-up  Area,2009,Ready To Move,56.0,88
303,100.0,1450,Super built-up  Area,2022,Ready To Move,117.0,10
304,105.0,1847,Super built-up  Area,2020,Ready To Move,4.0,91
305,45.0,1100,Super built-up  Area,2014,Ready To Move,177.0,51
306,26.0,525,Super built-up  Area,2013,20-Dec,29.0,45
307,95.0,1665,Super built-up  Area,2001,Ready To Move,178.0,22
308,65.0,1664,Super built-up  Area,2021,Ready To Move,179.0,56
309,150.0,1850,Super built-up  Area,2014,Ready To Move,180.0,41
310,100.0,1438,Super built-up  Area,2011,Ready To Move,126.0,82
311,115.0,1560,Super built-up  Area,2008,Ready To Move,181.0,64
312,55.55,1350,Super built-up  Area,2011,18-Apr,26.0,73
313,67.0,1550,Super built-up  Area,2004,Ready To Move,29.0,5
314,46.5,1140,Super built-up  Area,2012,18-Apr,182.0,37
315,180.0,1200,Plot  Area,2010,Ready To Move,166.0,68
316,27.0,850,Super built-up  Area,2002,18-Dec,183.0,36
317,75.0,1280,Super built-up  Area,2016,Ready To Move,5.0,13
318,52.0,1170,Built-up  Area,2020,Ready To Move,184.0,5
319,51.0,1113,Super built-up  Area,2002,Ready To Move,185.0,18
320,83.09,1385,Super built-up  Area,2013,Ready To Move,54.0,16
321,65.0,1128,Super built-up  Area,2018,18-Apr,24.0,23
322,128.0,1200,Plot  Area,2002,Ready To Move,8.0,31
323,165.0,1200,Plot  Area,2003,Ready To Move,186.0,85
324,415.0,2390,Super built-up  Area,2022,Ready To Move,7.0,0
325,400.0,2400,Plot  Area,2009,Ready To Move,175.0,0
326,56.0,1464,Super built-up  Area,2018,Ready To Move,53.0,91
327,55.0,1200,Super built-up  Area,2010,Ready To Move,17.0,42
328,52.0,1200,Super built-up  Area,2016,Ready To Move,58.0,21
329,55.0,1150,Super built-up  Area,2004,Ready To Move,187.0,64
330,95.0,1645,Built-up  Area,2018,Ready To Move,188.0,98
331,67.0,1000,Super built-up  Area,2020,20-Mar,34.0,17
332,198.0,2650,Plot  Area,2000,Ready To Move,53.0,67
333,74.0,1192,Super built-up  Area,2014,Ready To Move,189.0,52
334,215.0,2135,Super built-up  Area,2022,Ready To Move,190.0,77
335,58.0,1173,Super built-up  Area,2001,19-Dec,5.0,79
336,45.0,1020,Built-up  Area,2008,Ready To Move,2.0,32
337,230.0,3122,Super built-up  Area,2022,Ready To Move,191.0,85
338,64.0,1600,Super built-up  Area,2016,Ready To Move,192.0,82
339,79.0,1200,Plot  Area,2019,18-Mar,193.0,48
340,48.0,1230,Carpet  Area,2010,Ready To Move,194.0,96
341,40.0,1250,Super built-up  Area,2020,Ready To Move,100.0,76
342,76.0,1325,Super built-up  Area,2008,Ready To Move,56.0,40
343,150.0,1850,Built-up  Area,2012,Ready To Move,10.0,22
344,21.53,525,Super built-up  Area,2015,21-Dec,29.0,21
345,65.0,1200,Super built-up  Area,2017,Ready To Move,195.0,42
346,140.0,1350,Plot  Area,2005,Ready To Move,196.0,11
347,49.36,1260,Super built-up  Area,2007,18-Jun,197.0,34
348,150.0,1800,Super built-up  Area,2012,Ready To Move,198.0,33
349,74.0,11,Plot  Area,2011,18-Dec,199.0,12
350,43.25,1100,Built-up  Area,2000,Ready To Move,200.0,16
351,77.0,1508,Super built-up  Area,2009,Ready To Move,201.0,91
352,75.0,1592,Carpet  Area,2015,Ready To Move,202.0,24
353,57.0,1388,Super built-up  Area,2007,Ready To Move,82.0,27
354,28.35,630,Super built-up  Area,2004,18-May,0.0,51
355,365.0,2000,Plot  Area,2007,Ready To Move,203.0,62
356,125.0,1762,Super built-up  Area,2015,Ready To Move,204.0,66
357,50.0,950,Super built-up  Area,2014,21-Dec,205.0,97
358,335.0,3252,Super built-up  Area,2004,Ready To Move,206.0,80
359,50.0,1116,Super built-up  Area,2021,18-Aug,134.0,13
360,89.04,1308,Super built-up  Area,2007,Ready To Move,207.0,3
361,90.0,1200,Super built-up  Area,2001,Ready To Move,122.0,80
362,230.0,1500,Plot  Area,2012,Ready To Move,208.0,66
363,18.5,500,Built-up  Area,2008,Ready To Move,209.0,97
364,52.0,1075,Super built-up  Area,2016,Ready To Move,210.0,21
365,11.66,530,Super built-up  Area,2003,18-Mar,72.0,33
366,66.0,1205,Built-up  Area,2012,Ready To Move,21.0,97
367,60.0,1075,Super built-up  Area,2001,Ready To Move,211.0,2
368,39.0,930,Built-up  Area,2019,Ready To Move,38.0,78
369,60.0,1380,Super built-up  Area,2021,Ready To Move,163.0,54
370,212.0,2483,Super built-up  Area,2018,Ready To Move,27.0,44
371,55.0,1166,Built-up  Area,2006,Ready To Move,212.0,46
372,65.0,1050,Super built-up  Area,2010,Ready To Move,209.0,25
373,275.0,2023.71,Super built-up  Area,2013,19-Mar,213.0,34
374,46.8,1200,Super built-up  Area,2019,Ready To Move,43.0,36
375,108.0,1600,Super built-up  Area,2006,Ready To Move,42.0,6
376,110.0,1935,Super built-up  Area,2018,Ready To Move,214.0,69
377,29.9,451,Super built-up  Area,2018,18-May,91.0,51
378,95.0,1800,Super built-up  Area,2012,Ready To Move,24.0,96
379,77.0,1400,Super built-up  Area,2011,18-May,215.0,82
380,115.0,1801,Super built-up  Area,2005,Ready To Move,52.0,49
381,90.0,1451,Built-up  Area,2015,Ready To Move,216.0,58
382,36.0,1200,Plot  Area,2012,19-Jan,217.0,54
383,44.0,1160,Super built-up  Area,2004,Ready To Move,43.0,84
384,25.0,1000,Built-up  Area,2022,Ready To Move,18.0,91
385,40.0,950,Super built-up  Area,2001,Ready To Move,29.0,67
386,79.0,1629,Built-up  Area,2021,20-Dec,218.0,71
387,134.0,1580,Built-up  Area,2010,Ready To Move,117.0,72
388,121.0,1826,Super built-up  Area,2013,21-Jun,117.0,49
389,94.0,1245,Built-up  Area,2000,Ready To Move,10.0,35
390,45.79,1145,Super built-up  Area,2009,Ready To Move,15.0,46
391,33.0,825,Super built-up  Area,2017,Ready To Move,219.0,33
392,108.0,1693,Super built-up  Area,2002,18-Aug,71.0,85
393,53.0,1113.27,Super built-up  Area,2022,Ready To Move,30.0,97
394,58.0,1460,Built-up  Area,2017,Ready To Move,220.0,86
395,32.0,1050,Built-up  Area,2002,Ready To Move,37.0,58
396,55.0,1260,Built-up  Area,2012,Ready To Move,221.0,17
397,120.0,700,Super built-up  Area,2009,Ready To Move,222.0,7
398,120.0,1656,Built-up  Area,2008,Ready To Move,223.0,63
399,45.0,1208,Super built-up  Area,2021,Ready To Move,72.0,50
400,161.0,1910,Super built-up  Area,2003,Ready To Move,5.0,8
401,230.0,3252,Super built-up  Area,2015,Ready To Move,5.0,79
402,65.0,1200,Plot  Area,2018,Ready To Move,224.0,60
403,175.0,1200,Super built-up  Area,2007,Ready To Move,225.0,24
404,82.0,1175,Super built-up  Area,2022,Ready To Move,10.0,2
405,165.0,1000,Plot  Area,2004,Ready To Move,226.0,59
406,125.0,1200,Plot  Area,2004,Ready To Move,209.0,51
407,410.0,2390,Super built-up  Area,2019,Ready To Move,7.0,48
408,2200.0,12000,Super built-up  Area,2012,19-Jan,7.0,58
409,62.0,550,Plot  Area,2010,Ready To Move,227.0,62
410,18.5,34.46Sq. Meter,Super built-up  Area,2015,Ready To Move,18.0,78
411,38.0,1185,Super built-up  Area,2009,Ready To Move,228.0,15
412,38.0,750,Super built-up  Area,2008,Ready To Move,18.0,79
413,250.0,1200,Plot  Area,2021,Ready To Move,103.0,74
414,64.5,1550,Super built-up  Area,2000,Ready To Move,29.0,5
415,88.0,1760,Built-up  Area,2013,Ready To Move,229.0,77
416,62.0,1125,Super built-up  Area,2002,Ready To Move,214.0,75
417,150.0,1350,Plot  Area,2000,Ready To Move,76.0,43
418,55.0,1000,Plot  Area,2015,17-Dec,94.0,41
