purchase_id,purchase_date,ownership_percentage,buyer_id,property_id
232,5-20-2009,0.61,40,232
233,11-4-2016,0.85,74,233
234,2-20-2007,0.66,53,234
235,1-8-2004,0.66,91,235
236,6-29-2024,0.63,20,236
237,1-7-2018,0.52,46,237
238,3-30-2010,0.53,37,238
239,10-26-2025,0.95,6,239
240,6-13-2005,0.79,5,240
241,1-17-2018,0.62,48,241
242,6-23-2005,0.78,87,242
243,5-1-2004,0.54,98,243
244,12-5-2010,0.67,75,244
245,7-10-2010,0.53,35,245
246,10-13-2025,0.51,71,246
247,11-4-2011,0.53,84,247
248,12-8-2007,0.84,39,248
249,8-3-2008,0.62,23,249
250,7-11-2017,0.51,83,250
251,5-18-2025,0.91,94,251
252,4-18-2011,0.58,11,252
253,11-17-2013,0.69,20,253
254,12-29-2009,0.63,82,254
255,4-27-2015,0.97,56,255
256,9-3-2008,0.92,56,256
257,11-28-2024,0.65,32,257
258,6-24-2017,0.57,92,258
259,4-25-2015,0.97,80,259
260,12-5-2002,0.51,41,260
261,7-11-2009,0.69,95,261
262,11-30-2008,0.81,69,262
263,12-24-2014,0.5,25,263
264,9-21-2009,0.54,91,264
265,10-9-2006,0.95,37,265
266,8-26-2020,0.8,53,266
267,11-22-2017,0.85,2,267
268,9-21-2011,0.87,55,268
269,1-9-2017,0.87,91,269
270,2-24-2015,0.78,43,270
271,6-30-2010,0.64,7,271
272,11-15-2006,0.94,71,272
273,7-2-2024,0.55,44,273
274,3-26-2013,0.66,17,274
275,2-1-2007,0.78,76,275
276,2-26-2025,0.97,13,276
277,3-2-2012,0.6,66,277
278,9-30-2018,0.65,31,278
279,2-10-2000,0.69,69,279
280,2-16-2020,0.82,82,280
281,5-13-2022,0.9,83,281
282,8-24-2003,0.57,83,282
283,10-11-2009,0.87,48,283
284,1-12-2025,0.9,9,284
285,8-18-2018,0.72,86,285
286,9-23-2017,0.72,24,286
287,10-20-2023,0.7,24,287
288,5-10-2008,0.8,84,288
289,2-11-2016,0.96,59,289
290,4-3-2010,0.65,92,290
291,10-21-2019,0.72,36,291
292,4-8-2009,0.88,39,292
293,2-28-2023,0.56,33,293
294,9-29-2000,1.0,48,294
295,1-14-2000,0.89,45,295
296,4-9-2023,0.55,94,296
297,2-16-2020,0.51,98,297
298,3-21-2021,0.53,34,298
299,8-11-2004,0.88,34,299
300,5-9-2017,0.77,62,300
301,1-3-2020,0.86,3,301
302,8-21-2022,0.67,24,302
303,9-18-2013,0.63,68,303
304,6-12-2017,0.52,39,304
305,3-13-2012,0.53,25,305
306,3-28-2014,0.66,63,306
307,3-6-2022,0.78,16,307
308,1-27-2007,0.94,19,308
309,3-13-2005,0.95,25,309
310,4-9-2023,0.81,93,310
311,2-18-2006,0.6,71,311
312,9-3-2002,0.57,78,312
313,3-18-2016,0.87,1,313
314,11-22-2007,0.64,26,314
315,12-30-2022,0.58,2,315
316,3-12-2011,0.9,1,316
317,3-4-2005,0.9,15,317
318,9-18-2023,0.55,26,318
319,7-16-2011,0.66,95,319
320,12-12-2017,0.86,10,320
321,4-5-2022,0.7,24,321
322,4-17-2024,0.95,80,322
323,11-4-2014,0.87,59,323
324,6-19-2010,0.95,90,324
325,9-19-2003,0.83,48,325
326,4-19-2012,0.98,19,326
327,8-27-2019,0.72,61,327
328,5-11-2017,0.64,66,328
329,3-23-2013,0.73,60,329
330,11-14-2009,0.81,35,330
331,1-7-2001,0.81,90,331
332,12-18-2021,0.76,68,332
333,9-27-2008,1.0,64,333
334,8-19-2003,0.54,72,334
335,12-6-2017,0.75,78,335
336,8-21-2005,0.63,54,336
337,5-17-2000,0.79,11,337
338,7-11-2001,0.55,36,338
339,9-29-2011,0.55,12,339
340,8-17-2001,0.7,49,340
341,8-6-2007,0.91,91,341
342,2-2-2015,0.82,5,342
343,6-3-2009,0.67,57,343
344,1-17-2013,0.54,1,344
345,2-22-2006,0.51,5,345
346,7-25-2002,0.69,87,346
347,4-7-2025,0.98,50,347
348,3-1-2024,0.7,72,348
349,9-24-2000,0.5,6,349
350,12-20-2017,0.75,51,350
351,7-1-2006,0.5,68,351
352,2-16-2012,0.79,90,352
353,7-7-2017,0.95,34,353
354,7-1-2006,0.75,88,354
355,5-17-2000,0.54,98,355
356,11-26-2021,0.77,26,356
357,1-18-2018,0.73,2,357
358,12-17-2023,0.5,66,358
359,3-5-2005,0.56,44,359
360,3-8-2020,0.68,95,360
361,5-7-2024,0.95,51,361
362,6-16-2010,0.88,11,362
363,10-7-2016,0.6,52,363
364,9-30-2008,0.56,76,364
365,1-17-2002,0.7,18,365
366,9-13-2017,0.56,91,366
367,4-7-2000,0.67,36,367
368,9-20-2021,0.63,83,368
369,12-30-2008,0.99,18,369
370,8-30-2008,0.77,25,370
371,6-10-2022,0.8,63,371
372,3-8-2022,0.97,76,372
373,5-4-2008,0.9,71,373
374,12-2-2004,1.0,15,374
375,11-27-2010,0.67,96,375
376,4-4-2005,0.75,74,376
377,10-17-2006,0.53,94,377
378,11-12-2017,0.56,77,378
379,9-9-2009,0.68,37,379
380,8-15-2018,0.57,98,380
381,9-25-2022,0.83,10,381
382,5-26-2007,0.95,19,382
383,11-23-2001,0.88,68,383
384,4-1-2021,0.64,84,384
385,4-6-2003,0.67,18,385
386,9-29-2025,0.63,87,386
387,9-9-2012,0.69,22,387
388,10-19-2013,0.87,67,388
389,4-20-2020,0.5,81,389
390,1-23-2013,0.78,93,390
391,4-2-2013,0.52,38,391
392,3-15-2022,0.62,8,392
393,7-19-2002,0.75,27,393
394,9-5-2014,0.61,28,394
395,2-14-2006,0.59,51,395
396,7-24-2006,0.64,54,396
397,11-21-2002,0.72,98,397
398,4-26-2010,0.77,15,398
399,2-9-2005,0.98,29,399
400,11-3-2023,0.74,79,400
401,6-14-2015,0.87,82,401
402,2-30-2007,0.8,22,402
403,4-1-2023,0.72,82,403
404,9-10-2002,0.68,83,404
405,7-12-2019,0.93,41,405
406,5-15-2000,0.71,4,406
407,11-27-2017,0.54,7,407
408,2-6-2003,0.73,88,408
409,9-18-2023,0.55,83,409
410,6-29-2004,0.61,86,410
411,5-4-2022,0.58,53,411
412,8-2-2001,0.82,97,412
413,5-29-2019,0.77,40,413
414,3-26-2007,0.54,40,414
415,6-23-2014,0.74,61,415
416,8-10-2025,0.89,48,416
417,5-8-2000,0.79,35,417
418,7-27-2005,0.71,61,418
419,5-21-2013,0.6,66,419
420,5-5-2007,0.61,29,420
421,6-30-2012,0.76,37,421
422,8-28-2014,0.71,84,422
423,5-16-2008,0.76,54,423
424,5-3-2002,0.89,91,424
425,4-11-2011,0.97,80,425
426,12-16-2008,1.0,51,426
427,12-12-2010,0.59,81,427
428,10-4-2023,0.7,59,428
429,10-28-2010,0.75,98,429
430,2-12-2025,0.9,34,430
431,7-28-2010,0.81,49,431
432,10-21-2023,0.83,18,432
433,2-7-2000,0.68,28,433
434,6-18-2010,0.63,2,434
435,11-18-2017,0.89,90,435
436,3-27-2017,0.6,26,436
437,7-4-2024,0.69,79,437
438,2-5-2007,0.54,84,438
439,1-7-2014,0.58,57,439
440,12-12-2014,0.87,47,440
441,1-23-2019,1.0,70,441
442,9-28-2022,0.93,8,442
443,1-6-2003,0.72,39,443
444,5-4-2007,0.91,20,444
445,3-11-2017,0.66,59,445
446,10-5-2015,0.95,59,446
447,4-22-2025,0.52,61,447
448,11-6-2022,0.5,13,448
449,8-14-2010,0.6,81,449
450,1-12-2018,0.52,53,450
451,4-28-2010,0.76,70,451
452,6-21-2018,0.9,33,452
453,11-21-2005,0.98,53,453
454,10-13-2009,0.6,10,454
455,6-4-2020,0.86,2,455
456,12-18-2009,0.59,36,456
457,6-5-2000,0.79,48,457
458,3-25-2002,0.62,83,458
459,10-3-2002,0.8,92,459
460,5-2-2008,0.72,55,460
461,9-26-2012,0.99,35,461
462,10-9-2002,0.91,18,462
463,4-10-2017,0.53,56,463
464,4-5-2012,0.98,14,464
465,8-13-2018,0.95,67,465
466,7-2-2000,0.89,28,466
467,1-22-2015,0.79,58,467
468,8-1-2009,0.66,98,468
469,1-30-2009,0.84,29,469
470,9-14-2005,0.94,6,470
471,10-22-2011,0.71,10,471
472,8-22-2007,1.0,49,472
473,7-21-2023,0.85,38,473
474,12-19-2018,0.57,41,474
475,4-6-2011,0.72,98,475
476,11-21-2016,0.85,84,476
477,6-9-2008,0.84,99,477
478,12-17-2023,0.55,55,478
479,10-1-2010,0.82,79,479
480,4-29-2025,0.76,69,480
481,11-8-2011,0.85,42,481
482,12-28-2000,0.62,50,482
483,10-12-2025,0.76,70,483
484,12-24-2004,0.78,26,484
485,2-20-2025,0.92,85,485
486,8-18-2008,0.8,39,486
487,11-7-2007,0.96,2,487
488,9-4-2005,0.78,54,488
489,4-3-2012,0.65,57,489
490,12-5-2009,0.84,19,490
491,6-17-2005,0.98,10,491
492,10-21-2007,0.87,72,492
493,7-6-2021,0.94,61,493
494,9-20-2022,0.73,10,494
495,3-16-2022,0.7,6,495
496,8-15-2009,0.68,96,496
497,4-20-2000,0.97,54,497
498,10-17-2011,0.63,92,498
499,5-15-2016,0.57,66,499
500,11-15-2014,0.92,43,500
501,5-3-2013,0.69,92,501
502,9-25-2007,0.65,54,502
503,7-3-2014,0.57,3,503
504,12-2-2000,0.8,65,504
505,8-12-2003,0.93,33,505
506,8-4-2005,0.68,28,506
507,5-24-2024,0.8,51,507
508,11-7-2025,0.61,40,508
509,6-4-2024,0.96,98,509
510,11-17-2019,0.74,74,510
511,9-9-2012,0.74,90,511
512,2-2-2019,0.54,8,512
513,2-21-2022,0.75,97,513
514,7-17-2019,0.9,44,514
515,3-1-2008,0.83,68,515
516,7-5-2000,0.77,11,516
517,4-28-2005,0.82,79,517
518,8-22-2004,0.64,61,518
519,7-5-2007,0.77,97,519
520,1-7-2005,0.75,33,520
521,9-26-2005,0.8,14,521
522,9-30-2007,0.84,26,522
523,8-7-2024,0.76,44,523
524,7-17-2015,0.99,35,524
525,8-14-2021,0.67,65,525
526,3-5-2006,0.62,65,526
527,10-2-2024,0.93,37,527
528,3-2-2000,0.52,27,528
529,3-17-2019,0.77,1,529
530,1-1-2002,0.99,92,530
531,4-13-2017,0.99,33,531
532,6-28-2017,0.59,84,532
533,10-9-2020,0.86,54,533
534,1-6-2025,0.7,23,534
535,1-13-2003,0.65,26,535
536,2-18-2017,0.6,26,536
537,5-18-2020,0.55,52,537
538,8-2-2020,0.81,38,538
539,5-7-2010,0.57,62,539
540,3-13-2004,1.0,22,540
541,9-30-2025,0.7,99,541
542,3-20-2001,0.55,73,542
543,3-19-2022,0.92,47,543
544,10-2-2025,0.96,81,544
545,4-12-2016,0.64,9,545
546,5-25-2019,0.84,89,546
547,2-18-2012,0.78,90,547
548,4-16-2010,0.55,89,548
549,6-3-2011,0.53,41,549
550,3-21-2023,0.63,16,550
551,2-12-2007,0.65,60,551
552,2-22-2025,0.69,60,552
553,10-17-2002,0.84,99,553
554,8-19-2003,0.84,5,554
555,11-15-2016,0.72,7,555
556,10-5-2023,0.59,55,556
557,4-25-2017,0.98,11,557
558,10-22-2025,0.68,48,558
559,3-26-2016,0.75,25,559
560,12-16-2022,0.55,17,560
561,4-10-2003,0.64,79,561
562,3-8-2014,0.72,64,562
563,8-24-2004,0.53,93,563
564,10-25-2004,0.62,16,564
565,5-19-2013,0.96,22,565
566,10-18-2023,0.66,39,566
567,10-14-2013,0.51,90,567
568,1-13-2016,0.58,59,568
569,5-26-2020,0.82,75,569
570,10-19-2018,0.76,22,570
571,2-29-2017,0.72,8,571
572,5-2-2025,0.64,87,572
573,2-28-2012,0.53,43,573
574,1-1-2012,0.64,77,574
575,7-8-2009,0.71,40,575
576,4-10-2022,0.82,18,576
577,9-12-2001,0.87,3,577
578,10-3-2022,0.86,99,578
579,10-15-2006,0.89,49,579
580,7-19-2012,0.61,7,580
581,1-12-2004,0.88,86,581
582,1-10-2020,0.55,32,582
583,4-2-2007,0.82,11,583
584,10-9-2019,0.5,41,584
585,5-11-2007,0.73,30,585
586,11-2-2007,0.93,47,586
587,12-13-2011,0.82,29,587
588,1-16-2010,0.71,37,588
589,8-25-2007,0.82,24,589
590,12-17-2016,0.98,48,590
591,5-12-2000,0.51,83,591
592,9-19-2009,0.76,37,592
593,7-25-2014,0.97,67,593
594,10-21-2004,0.92,61,594
595,5-8-2012,0.71,71,595
596,6-2-2023,0.93,85,596
597,9-8-2021,0.54,15,597
598,7-12-2006,0.84,16,598
599,2-4-2023,0.7,58,599
600,4-7-2023,0.51,31,600
601,3-8-2000,0.62,53,601
602,1-24-2011,0.96,31,602
603,11-27-2012,0.74,27,603
604,4-1-2013,0.67,15,604
605,8-16-2001,0.72,31,605
606,3-24-2017,0.74,19,606
607,5-23-2018,0.6,89,607
608,6-10-2024,0.66,61,608
609,6-13-2025,0.87,33,609
610,2-10-2008,0.78,79,610
611,6-25-2005,0.73,84,611
612,12-26-2016,0.91,13,612
613,10-2-2002,0.69,74,613
614,1-6-2008,0.63,89,614
615,3-6-2016,0.74,14,615
616,1-15-2005,0.92,7,616
617,1-3-2000,0.68,76,617
618,1-27-2017,0.54,32,618
619,9-10-2019,0.71,89,619
620,6-6-2025,0.66,4,620
621,5-18-2016,0.85,12,621
622,7-9-2024,0.63,0,622
623,4-24-2009,0.83,75,623
624,9-28-2024,0.86,5,624
625,10-26-2008,0.9,82,625
626,12-29-2006,0.68,18,626
627,10-24-2002,0.94,0,627
628,11-5-2019,0.83,72,628
629,6-25-2000,0.51,84,629
630,8-13-2019,0.91,78,630
631,12-30-2018,0.56,85,631
632,7-28-2008,0.54,44,632
633,10-24-2020,0.86,78,633
634,2-8-2008,0.57,23,634
635,10-14-2014,1.0,23,635
636,10-11-2021,0.88,10,636
637,11-23-2008,0.5,27,637
638,6-14-2006,0.99,81,638
639,8-16-2017,0.65,98,639
640,8-7-2004,0.84,66,640
641,1-11-2000,0.9,66,641
642,1-8-2025,0.91,76,642
643,1-26-2007,0.58,25,643
644,7-18-2000,0.71,41,644
645,8-18-2000,0.52,71,645
646,10-20-2025,0.88,83,646
647,11-22-2007,0.5,59,647
648,2-25-2005,0.93,75,648
649,9-22-2019,0.96,20,649
650,11-1-2014,0.9,19,650
651,3-18-2016,0.57,50,651
652,12-14-2018,0.96,91,652
653,8-30-2020,0.63,85,653
654,9-23-2007,0.71,32,654
655,6-29-2024,0.94,87,655
656,7-10-2000,0.62,56,656
657,5-2-2025,0.55,50,657
658,3-18-2013,0.81,63,658
659,11-28-2019,0.79,11,659
660,2-22-2002,0.57,11,660
661,9-30-2005,0.57,65,661
662,9-17-2014,0.98,54,662
663,10-30-2010,0.86,46,663
664,2-27-2003,0.61,51,664
665,5-28-2015,0.7,44,665
666,9-26-2016,0.73,93,666
667,7-30-2000,0.65,80,667
668,12-7-2001,0.79,12,668
669,8-22-2002,0.53,64,669
670,11-12-2016,0.61,9,670
671,5-16-2000,0.95,59,671
672,8-14-2000,0.77,88,672
673,6-21-2022,0.57,70,673
674,11-10-2010,0.67,20,674
675,2-4-2006,0.77,52,675
676,10-11-2004,0.7,41,676
677,8-2-2003,0.99,25,677
678,7-22-2017,0.89,54,678
679,12-30-2004,0.88,40,679
680,4-25-2005,0.74,60,680
681,2-2-2010,0.73,19,681
682,5-12-2017,0.78,81,682
683,3-5-2016,0.91,76,683
684,3-2-2003,0.9,49,684
685,8-11-2023,0.99,41,685
686,5-24-2014,0.79,73,686
687,9-4-2019,0.62,15,687
688,8-2-2024,0.76,96,688
689,4-26-2002,0.82,8,689
690,12-22-2024,0.6,8,690
691,4-1-2009,0.98,78,691
692,2-1-2021,0.76,43,692
693,10-7-2022,0.65,78,693
694,10-15-2025,0.88,6,694
695,11-30-2013,0.82,10,695
696,5-21-2011,0.61,49,696
697,1-8-2007,0.57,80,697
698,11-27-2025,0.54,28,698
699,12-6-2024,0.99,30,699
700,8-22-2001,0.55,25,700
701,11-26-2025,0.86,46,701
702,7-18-2012,0.76,57,702
703,11-8-2007,1.0,51,703
704,8-22-2022,0.78,62,704
705,8-23-2000,0.74,1,705
706,2-2-2007,0.65,45,706
707,12-20-2010,0.97,19,707
708,5-23-2006,0.93,82,708
709,9-10-2000,0.95,4,709
710,9-11-2019,0.66,18,710
711,2-12-2004,0.75,82,711
712,2-16-2013,0.62,96,712
713,7-29-2014,0.66,68,713
714,10-19-2020,0.52,31,714
715,10-9-2018,0.95,71,715
716,7-29-2023,0.98,97,716
717,3-1-2016,0.59,6,717
718,7-21-2004,0.65,28,718
719,4-16-2024,0.7,21,719
720,5-29-2017,0.6,55,720
721,8-29-2016,0.71,29,721
722,7-5-2004,0.88,35,722
723,5-5-2020,0.56,55,723
724,12-18-2023,0.94,66,724
725,8-19-2024,0.56,2,725
726,1-20-2006,0.75,62,726
727,2-16-2008,0.77,40,727
728,3-20-2000,0.75,47,728
729,7-29-2007,0.56,71,729
730,6-12-2021,0.56,3,730
731,7-2-2019,0.97,61,731
732,6-20-2017,0.69,97,732
733,7-23-2017,0.73,27,733
734,1-26-2012,0.77,10,734
735,8-10-2015,0.66,11,735
736,9-26-2000,0.76,54,736
737,4-17-2023,0.52,96,737
738,3-25-2001,0.57,1,738
739,10-18-2007,0.82,1,739
740,5-28-2005,0.62,65,740
741,2-15-2017,0.7,44,741
742,5-7-2004,0.86,97,742
743,9-19-2019,0.82,98,743
744,9-22-2007,0.83,92,744
745,3-2-2022,0.78,89,745
746,3-25-2012,0.78,86,746
747,4-28-2008,0.55,56,747
748,10-26-2003,0.75,7,748
749,4-24-2025,0.7,7,749
750,12-28-2006,0.57,94,750
751,5-8-2017,1.0,55,751
752,9-19-2002,0.93,61,752
753,4-24-2000,0.63,65,753
754,12-29-2005,0.71,26,754
755,10-30-2009,0.67,25,755
756,8-20-2006,0.93,23,756
757,2-12-2015,0.87,82,757
758,2-9-2019,0.65,23,758
759,1-18-2012,0.95,60,759
760,11-30-2014,0.56,58,760
761,10-27-2000,0.63,12,761
762,7-22-2006,0.9,29,762
763,9-2-2016,0.68,52,763
764,11-20-2018,0.63,72,764
765,10-13-2010,0.5,65,765
766,4-16-2024,0.76,64,766
767,3-14-2008,0.85,69,767
768,2-9-2015,0.9,15,768
769,5-23-2020,0.57,25,769
770,9-12-2022,0.58,11,770
771,1-20-2025,0.65,6,771
772,1-5-2012,0.94,97,772
773,7-15-2018,0.77,61,773
774,4-18-2019,0.59,67,774
775,12-11-2000,0.87,21,775
776,2-13-2000,0.98,25,776
777,4-7-2016,0.62,98,777
778,10-13-2010,0.55,43,778
779,10-9-2013,0.6,1,779
780,8-19-2016,0.57,14,780
781,2-27-2015,0.57,11,781
782,6-12-2004,0.97,42,782
783,9-10-2010,1.0,79,783
784,8-1-2004,0.69,39,784
785,9-16-2008,0.73,45,785
786,8-22-2015,0.83,10,786
787,1-4-2020,0.83,90,787
788,8-7-2016,0.93,15,788
789,1-25-2010,0.69,11,789
790,3-2-2015,0.93,52,790
791,11-29-2013,0.73,8,791
792,11-4-2013,0.81,61,792
793,2-17-2007,0.8,33,793
794,7-29-2024,0.64,92,794
795,10-7-2009,0.55,95,795
796,7-14-2000,0.81,54,796
797,1-27-2003,0.78,93,797
798,3-8-2011,0.68,37,798
799,1-25-2025,0.5,69,799
800,10-4-2024,0.54,15,800
801,11-11-2003,0.9,43,801
802,12-27-2013,0.86,70,802
803,8-6-2007,0.72,88,803
804,2-1-2002,0.6,41,804
805,11-14-2017,0.88,87,805
806,4-27-2006,0.69,37,806
807,4-18-2024,0.69,22,807
808,3-23-2000,0.86,35,808
809,2-27-2008,0.79,10,809
810,12-1-2006,0.6,90,810
811,5-28-2005,0.99,1,811
812,12-3-2000,0.89,87,812
813,6-2-2021,0.86,28,813
814,7-17-2003,0.54,21,814
815,11-26-2006,0.84,19,815
816,6-4-2009,0.98,58,816
817,7-9-2024,0.7,85,817
818,1-15-2005,0.86,32,818
819,3-19-2012,0.75,96,819
