transaction_id,sale_price,sale_date,payment_type,property_id
248,280.0,3-19-2006,Cash,248
249,185.0,10-25-2015,Loan,249
250,20.0,9-3-2012,Loan,250
251,55.0,9-8-2009,Loan,251
252,93.0,3-15-2022,Cash,252
253,22.5,7-12-2025,Cash,253
254,69.0,10-1-2011,Cash,254
255,95.0,5-14-2018,Loan,255
256,36.0,11-3-2004,Cash,256
257,63.0,8-28-2007,Cash,257
258,170.0,2-28-2013,Cash,258
259,170.0,4-24-2005,Cash,259
260,300.0,6-15-2015,Loan,260
261,75.5,2-25-2015,Loan,261
262,43.9,6-10-2007,Cash,262
263,59.9,8-21-2005,Loan,263
264,49.2,2-19-2012,Cash,264
265,52.8,9-6-2020,Loan,265
266,46.0,5-10-2000,Loan,266
267,61.58,12-30-2022,Loan,267
268,26.0,5-1-2024,Cash,268
269,120.0,6-22-2015,Loan,269
270,32.0,8-2-2024,Cash,270
271,131.0,11-8-2017,Cash,271
272,45.0,1-24-2025,Loan,272
273,110.0,4-17-2003,Loan,273
274,73.95,9-1-2006,Cash,274
275,132.0,4-29-2013,Cash,275
276,80.9,5-22-2009,Loan,276
277,250.0,3-15-2025,Cash,277
278,91.45,9-15-2018,Cash,278
279,55.0,5-24-2004,Cash,279
280,34.5,8-8-2010,Loan,280
281,100.0,9-25-2002,Loan,281
282,250.0,6-28-2019,Loan,282
283,78.8,8-27-2011,Loan,283
284,46.0,1-15-2018,Loan,284
285,94.0,2-28-2007,Cash,285
286,40.0,8-1-2015,Loan,286
287,56.0,5-12-2000,Cash,287
288,50.0,4-21-2018,Cash,288
289,25.88,12-23-2010,Loan,289
290,51.25,12-29-2012,Cash,290
291,44.0,1-12-2005,Loan,291
292,45.0,4-22-2022,Cash,292
293,98.2,12-18-2024,Loan,293
294,50.0,10-28-2003,Cash,294
295,75.0,12-2-2018,Cash,295
296,98.0,1-7-2006,Loan,296
297,47.0,7-13-2023,Loan,297
298,120.0,6-26-2005,Cash,298
299,140.0,10-15-2024,Cash,299
300,104.0,9-26-2002,Loan,300
301,29.5,2-4-2016,Cash,301
302,70.0,5-29-2007,Cash,302
303,100.0,12-27-2022,Cash,303
304,105.0,6-29-2005,Loan,304
305,45.0,7-20-2016,Cash,305
306,26.0,11-26-2018,Cash,306
307,95.0,7-24-2015,Cash,307
308,65.0,9-3-2001,Cash,308
309,150.0,9-13-2003,Loan,309
310,100.0,9-22-2023,Loan,310
311,115.0,6-7-2016,Loan,311
312,55.55,7-21-2008,Loan,312
313,67.0,5-27-2019,Loan,313
314,46.5,1-18-2005,Loan,314
315,180.0,2-16-2022,Loan,315
316,27.0,5-24-2007,Cash,316
317,75.0,6-28-2014,Cash,317
318,52.0,3-8-2002,Cash,318
319,51.0,8-29-2005,Cash,319
320,83.09,2-28-2002,Cash,320
321,65.0,3-10-2023,Cash,321
322,128.0,2-2-2009,Loan,322
323,165.0,5-15-2004,Cash,323
324,415.0,3-15-2003,Loan,324
325,400.0,6-26-2019,Loan,325
326,56.0,12-10-2013,Loan,326
327,55.0,2-15-2018,Loan,327
328,52.0,1-6-2012,Cash,328
329,55.0,4-7-2006,Cash,329
330,95.0,3-8-2002,Loan,330
331,67.0,12-22-2017,Loan,331
332,198.0,8-17-2019,Cash,332
333,74.0,11-1-2006,Cash,333
334,215.0,2-10-2016,Cash,334
335,58.0,12-30-2022,Cash,335
336,45.0,2-20-2002,Cash,336
337,230.0,2-26-2017,Loan,337
338,64.0,3-27-2002,Loan,338
339,79.0,4-26-2009,Loan,339
340,48.0,9-18-2013,Loan,340
341,40.0,4-1-2025,Loan,341
342,76.0,12-14-2003,Cash,342
343,150.0,5-6-2020,Loan,343
344,21.53,11-24-2009,Cash,344
345,65.0,4-6-2018,Cash,345
346,140.0,3-17-2011,Loan,346
347,49.36,9-28-2018,Loan,347
348,150.0,6-20-2013,Cash,348
349,74.0,9-23-2017,Cash,349
350,43.25,1-6-2001,Loan,350
351,77.0,1-22-2023,Loan,351
352,75.0,6-12-2015,Loan,352
353,57.0,12-30-2018,Loan,353
354,28.35,6-6-2001,Loan,354
355,365.0,5-21-2008,Cash,355
356,125.0,4-2-2007,Loan,356
357,50.0,6-16-2021,Cash,357
358,335.0,4-17-2012,Loan,358
359,50.0,5-28-2024,Loan,359
360,89.04,2-4-2003,Loan,360
361,90.0,2-2-2005,Loan,361
362,230.0,12-2-2006,Loan,362
363,18.5,3-7-2005,Loan,363
364,52.0,8-17-2013,Loan,364
365,11.66,2-1-2005,Loan,365
366,66.0,4-21-2014,Cash,366
367,60.0,8-30-2013,Cash,367
368,39.0,9-8-2007,Loan,368
369,60.0,12-3-2025,Loan,369
370,212.0,10-4-2008,Cash,370
371,55.0,9-10-2021,Cash,371
372,65.0,6-15-2018,Cash,372
373,275.0,4-26-2022,Cash,373
374,46.8,7-11-2024,Cash,374
375,108.0,8-24-2000,Loan,375
376,110.0,4-16-2016,Loan,376
377,29.9,4-11-2016,Loan,377
378,95.0,8-10-2024,Loan,378
379,77.0,9-30-2016,Cash,379
380,115.0,10-7-2001,Loan,380
381,90.0,6-29-2014,Loan,381
382,36.0,11-21-2002,Loan,382
383,44.0,7-2-2002,Cash,383
384,25.0,6-1-2008,Cash,384
385,40.0,11-22-2017,Loan,385
386,79.0,4-26-2014,Loan,386
387,134.0,10-6-2022,Cash,387
388,121.0,7-5-2025,Loan,388
389,94.0,5-22-2001,Cash,389
390,45.79,8-21-2003,Loan,390
391,33.0,9-9-2008,Loan,391
392,108.0,4-6-2017,Loan,392
393,53.0,6-16-2000,Loan,393
394,58.0,6-18-2008,Loan,394
395,32.0,11-1-2008,Loan,395
396,55.0,3-3-2010,Cash,396
397,120.0,10-20-2008,Loan,397
398,120.0,6-22-2007,Cash,398
399,45.0,7-13-2008,Loan,399
400,161.0,8-14-2015,Loan,400
401,230.0,1-9-2025,Cash,401
402,65.0,8-26-2024,Cash,402
403,175.0,7-10-2014,Cash,403
404,82.0,2-20-2007,Cash,404
405,165.0,2-3-2008,Loan,405
406,125.0,10-27-2015,Cash,406
407,410.0,5-21-2001,Loan,407
408,2200.0,1-26-2014,Cash,408
409,62.0,8-20-2012,Loan,409
410,18.5,11-29-2002,Loan,410
411,38.0,11-9-2006,Loan,411
412,38.0,1-24-2005,Cash,412
413,250.0,11-18-2011,Cash,413
414,64.5,1-8-2016,Cash,414
415,88.0,12-17-2003,Loan,415
416,62.0,11-28-2021,Cash,416
417,150.0,9-13-2023,Loan,417
418,55.0,9-19-2023,Cash,418
419,31.48,9-18-2011,Loan,419
420,60.0,12-13-2000,Cash,420
421,103.0,9-14-2013,Loan,421
422,26.5,2-18-2023,Cash,422
423,75.0,12-30-2007,Loan,423
424,67.0,8-19-2000,Loan,424
425,85.0,9-30-2009,Cash,425
426,79.0,7-1-2024,Cash,426
427,55.0,6-12-2006,Loan,427
428,55.0,1-23-2022,Cash,428
429,140.0,11-30-2015,Loan,429
430,69.0,2-5-2023,Loan,430
431,69.0,5-19-2009,Loan,431
432,47.12,7-9-2007,Loan,432
433,48.1,5-16-2009,Cash,433
434,250.0,11-28-2000,Cash,434
435,240.0,11-9-2002,Cash,435
436,55.0,5-24-2016,Loan,436
437,68.29,12-14-2009,Loan,437
438,40.0,4-26-2025,Loan,438
439,110.0,12-23-2010,Cash,439
440,700.0,10-30-2020,Cash,440
441,76.0,4-9-2010,Cash,441
442,95.0,5-18-2023,Loan,442
443,57.0,4-1-2025,Loan,443
444,100.0,12-22-2008,Cash,444
445,71.0,8-5-2013,Loan,445
446,95.0,5-14-2022,Loan,446
447,34.65,9-24-2007,Cash,447
448,135.0,2-15-2015,Cash,448
449,78.0,10-16-2021,Loan,449
450,55.47,4-2-2009,Cash,450
451,252.0,11-15-2021,Cash,451
452,74.03,10-7-2019,Cash,452
453,200.0,7-23-2012,Loan,453
454,55.0,11-6-2003,Cash,454
455,325.0,5-6-2004,Cash,455
456,30.35,11-2-2010,Cash,456
457,98.0,8-9-2016,Cash,457
458,46.96,6-15-2007,Cash,458
459,360.0,9-6-2000,Loan,459
460,120.0,3-29-2024,Loan,460
461,35.23,3-24-2023,Cash,461
462,30.0,9-26-2002,Loan,462
463,63.0,6-15-2018,Cash,463
464,50.0,7-4-2012,Loan,464
465,126.0,9-4-2014,Loan,465
466,130.0,2-26-2010,Cash,466
467,110.0,6-24-2006,Loan,467
468,54.0,7-27-2000,Cash,468
469,220.0,7-14-2019,Loan,469
470,95.0,11-14-2023,Cash,470
471,40.0,3-12-2005,Loan,471
472,230.0,2-27-2009,Cash,472
473,42.16,11-17-2008,Cash,473
474,165.0,2-16-2001,Cash,474
475,98.0,12-29-2012,Cash,475
476,62.0,8-12-2011,Loan,476
477,235.0,6-17-2016,Cash,477
478,74.0,9-3-2020,Loan,478
479,50.17,1-20-2000,Cash,479
480,260.0,2-9-2005,Cash,480
481,180.0,4-20-2008,Cash,481
482,65.0,2-8-2006,Cash,482
483,190.0,3-11-2019,Loan,483
484,56.0,5-5-2020,Loan,484
485,400.0,2-17-2023,Loan,485
486,99.0,6-2-2017,Cash,486
487,49.0,6-21-2009,Loan,487
488,60.0,2-10-2010,Loan,488
489,120.0,6-18-2022,Loan,489
490,337.0,2-6-2003,Loan,490
491,58.0,6-4-2008,Loan,491
492,94.42,10-3-2008,Cash,492
493,52.5,2-6-2000,Cash,493
494,63.0,10-8-2025,Loan,494
495,53.0,11-1-2008,Cash,495
496,45.0,4-14-2014,Cash,496
497,32.0,2-7-2022,Loan,497
498,36.0,10-12-2000,Cash,498
499,48.5,5-21-2000,Loan,499
500,45.0,6-9-2022,Cash,500
501,95.0,8-5-2012,Cash,501
502,58.0,10-18-2010,Loan,502
503,68.75,1-14-2016,Cash,503
504,26.0,11-17-2007,Loan,504
505,38.0,5-21-2020,Loan,505
506,40.0,4-20-2022,Loan,506
507,35.0,4-15-2023,Loan,507
508,45.0,10-8-2018,Loan,508
509,70.0,12-7-2017,Loan,509
510,165.0,12-30-2005,Cash,510
511,41.0,7-18-2001,Cash,511
512,67.0,1-14-2021,Loan,512
513,90.0,3-15-2017,Loan,513
514,145.0,1-3-2015,Cash,514
515,80.0,11-4-2007,Cash,515
516,154.0,6-27-2002,Cash,516
517,65.0,11-20-2015,Cash,517
518,275.0,3-10-2012,Loan,518
519,48.0,11-23-2002,Loan,519
520,115.0,2-15-2019,Loan,520
521,110.0,7-10-2025,Cash,521
522,125.0,4-16-2016,Cash,522
523,70.0,12-13-2016,Loan,523
524,465.0,1-23-2003,Cash,524
525,42.74,5-25-2020,Cash,525
526,85.0,5-17-2018,Cash,526
527,25.0,3-16-2022,Loan,527
528,120.0,3-7-2018,Cash,528
529,160.0,10-7-2009,Cash,529
530,47.0,11-8-2018,Loan,530
531,45.5,4-26-2006,Cash,531
532,45.0,11-13-2024,Cash,532
533,66.0,11-4-2022,Loan,533
534,245.0,6-17-2023,Cash,534
535,48.48,1-27-2009,Loan,535
536,68.0,4-7-2006,Loan,536
537,49.0,2-12-2003,Cash,537
538,210.0,6-29-2020,Cash,538
539,528.0,3-17-2016,Cash,539
540,39.73,5-16-2001,Loan,540
541,101.0,1-29-2008,Cash,541
542,90.0,3-1-2024,Cash,542
543,99.0,5-18-2020,Cash,543
544,61.95,1-23-2017,Loan,544
545,499.0,10-23-2021,Cash,545
546,63.0,12-3-2015,Loan,546
547,140.0,7-17-2008,Cash,547
548,50.0,12-29-2008,Loan,548
549,63.77,5-14-2011,Loan,549
550,260.0,3-25-2019,Loan,550
551,53.67,7-17-2016,Loan,551
552,54.0,6-9-2013,Loan,552
553,42.0,11-7-2008,Loan,553
554,145.0,8-12-2001,Cash,554
555,80.0,6-26-2006,Loan,555
556,40.0,6-14-2008,Loan,556
557,27.25,11-11-2024,Cash,557
558,25.0,7-3-2017,Cash,558
559,175.0,3-25-2007,Loan,559
560,80.0,4-4-2018,Loan,560
561,33.32,2-23-2024,Cash,561
562,50.0,11-13-2020,Cash,562
563,160.0,7-16-2008,Cash,563
564,28.15,3-20-2015,Cash,564
565,84.0,7-13-2007,Loan,565
566,300.0,6-17-2021,Loan,566
567,100.0,4-11-2000,Cash,567
568,86.0,12-13-2016,Loan,568
569,55.0,5-14-2021,Cash,569
570,315.0,7-4-2009,Cash,570
571,125.0,9-10-2004,Loan,571
572,69.3,11-2-2008,Cash,572
573,225.0,2-14-2009,Loan,573
574,120.0,12-11-2013,Loan,574
575,58.7,4-8-2012,Loan,575
576,80.0,5-11-2015,Cash,576
577,65.0,6-9-2018,Cash,577
578,73.0,9-1-2009,Cash,578
579,34.185,1-14-2021,Cash,579
580,45.0,9-5-2009,Cash,580
581,36.0,11-22-2007,Loan,581
582,46.0,7-26-2017,Loan,582
583,313.0,12-26-2021,Cash,583
584,180.0,11-14-2005,Cash,584
585,48.95,10-30-2024,Loan,585
586,40.0,1-17-2010,Cash,586
587,102.0,4-28-2018,Cash,587
588,42.0,12-5-2007,Loan,588
589,38.0,6-28-2021,Cash,589
590,75.0,5-19-2004,Loan,590
591,150.0,12-26-2024,Loan,591
592,115.0,10-20-2022,Loan,592
593,18.5,3-2-2000,Loan,593
594,98.0,4-9-2002,Cash,594
595,65.0,8-15-2011,Loan,595
596,45.0,5-10-2023,Loan,596
597,85.0,5-17-2003,Loan,597
598,44.71,4-24-2017,Loan,598
599,85.0,2-17-2006,Loan,599
600,223.0,4-20-2010,Cash,600
601,90.0,9-27-2025,Cash,601
602,60.0,7-17-2021,Loan,602
603,70.0,11-11-2012,Loan,603
604,140.0,4-16-2017,Cash,604
605,2200.0,7-2-2021,Loan,605
606,25.0,4-19-2017,Loan,606
607,49.07,2-18-2021,Loan,607
608,37.0,3-29-2005,Cash,608
609,260.0,8-13-2006,Loan,609
610,425.0,7-6-2020,Cash,610
611,55.0,4-14-2015,Cash,611
612,45.8,7-15-2010,Cash,612
613,40.0,5-3-2009,Cash,613
614,150.0,11-2-2003,Loan,614
615,250.0,7-22-2019,Loan,615
616,42.0,5-28-2019,Loan,616
617,70.0,12-29-2011,Cash,617
618,360.0,4-8-2003,Cash,618
619,100.0,6-14-2013,Cash,619
620,134.0,3-25-2002,Cash,620
621,95.0,3-11-2014,Cash,621
622,95.0,12-19-2001,Loan,622
623,36.0,12-17-2004,Cash,623
624,95.0,11-14-2015,Loan,624
625,100.0,1-21-2015,Cash,625
626,60.0,10-16-2013,Loan,626
627,49.0,7-12-2021,Cash,627
628,85.0,8-26-2023,Cash,628
629,70.0,10-8-2024,Cash,629
630,56.0,3-2-2000,Loan,630
631,160.0,9-10-2019,Loan,631
632,50.0,8-8-2004,Loan,632
633,25.0,11-22-2025,Cash,633
634,250.0,9-26-2025,Loan,634
635,29.0,6-19-2020,Cash,635
636,86.0,9-23-2017,Loan,636
637,65.0,9-7-2021,Cash,637
638,160.0,3-10-2004,Cash,638
639,325.0,9-27-2017,Cash,639
640,48.0,6-17-2014,Cash,640
641,660.0,4-1-2012,Loan,641
642,52.8,12-12-2018,Loan,642
643,40.0,3-30-2013,Loan,643
644,80.0,8-25-2014,Cash,644
645,47.0,5-9-2004,Cash,645
646,62.0,1-22-2006,Loan,646
647,52.2,8-8-2022,Loan,647
648,265.0,12-13-2009,Cash,648
649,262.0,8-13-2005,Loan,649
650,60.0,12-17-2006,Loan,650
651,150.0,8-20-2013,Cash,651
652,35.23,11-23-2004,Cash,652
653,58.0,5-13-2023,Cash,653
654,58.0,1-15-2001,Cash,654
655,46.0,3-14-2011,Loan,655
656,260.0,4-8-2000,Loan,656
657,66.0,5-16-2005,Cash,657
658,45.0,6-7-2020,Loan,658
659,67.39,1-25-2006,Cash,659
660,78.0,5-1-2015,Cash,660
661,48.13,7-13-2022,Cash,661
662,45.98,10-7-2000,Cash,662
663,200.0,2-30-2013,Cash,663
664,45.0,1-23-2003,Cash,664
665,130.0,11-11-2005,Loan,665
666,200.0,12-19-2010,Cash,666
667,38.55,11-2-2022,Cash,667
668,108.0,5-23-2024,Cash,668
669,375.0,6-30-2014,Cash,669
670,70.0,7-6-2006,Loan,670
671,77.0,12-30-2000,Cash,671
672,445.0,10-12-2007,Loan,672
673,78.34,12-15-2013,Loan,673
674,130.0,12-19-2021,Cash,674
675,115.0,12-29-2024,Loan,675
676,50.0,7-26-2004,Cash,676
677,150.0,9-20-2007,Cash,677
678,120.0,10-10-2008,Cash,678
679,100.0,11-14-2009,Loan,679
680,57.0,4-27-2001,Loan,680
681,375.0,1-3-2018,Loan,681
682,49.85,8-10-2025,Cash,682
683,165.0,10-21-2012,Loan,683
684,40.0,3-12-2020,Cash,684
685,140.0,8-14-2018,Loan,685
686,56.0,7-28-2021,Loan,686
687,109.0,7-12-2004,Loan,687
688,83.3,10-9-2014,Loan,688
689,111.0,12-24-2011,Loan,689
690,58.0,5-3-2011,Loan,690
691,61.75,10-1-2009,Cash,691
692,55.0,9-17-2012,Loan,692
693,120.0,5-6-2015,Cash,693
694,60.0,5-27-2004,Cash,694
695,120.0,12-25-2023,Loan,695
696,43.48,12-24-2023,Loan,696
697,139.0,11-23-2000,Loan,697
698,40.39,1-30-2019,Loan,698
699,87.0,12-16-2001,Loan,699
700,32.49,4-17-2003,Loan,700
701,44.0,7-2-2013,Cash,701
702,548.5,6-10-2008,Cash,702
703,76.0,9-20-2001,Loan,703
704,98.5,6-5-2017,Cash,704
705,28.34,9-4-2010,Cash,705
706,159.0,10-28-2024,Cash,706
707,25.53,1-13-2007,Loan,707
708,24.5,11-4-2012,Cash,708
709,45.0,3-6-2023,Cash,709
710,82.0,6-2-2015,Cash,710
711,32.0,7-2-2017,Cash,711
712,160.0,11-29-2019,Loan,712
713,54.0,10-16-2008,Loan,713
714,91.0,11-16-2003,Cash,714
715,62.0,3-16-2012,Loan,715
716,82.0,6-8-2004,Cash,716
717,40.61,10-26-2021,Loan,717
718,71.0,7-3-2017,Cash,718
719,225.0,10-14-2005,Loan,719
720,90.0,4-11-2005,Cash,720
721,100.0,9-17-2013,Cash,721
722,42.0,7-23-2013,Cash,722
723,57.0,12-27-2013,Cash,723
724,57.0,9-6-2022,Cash,724
725,85.0,3-6-2001,Loan,725
726,125.0,1-25-2008,Cash,726
727,160.0,12-9-2006,Loan,727
728,220.0,1-25-2022,Loan,728
729,48.0,9-24-2023,Loan,729
730,53.0,9-17-2001,Loan,730
731,62.5,12-10-2006,Cash,731
732,118.0,7-23-2006,Loan,732
733,52.0,2-24-2001,Cash,733
