feature_id,property_id,feature_name,feature_value
394,132,bath,3.0
395,132,balcony,1.0
396,132,society,Inensba
397,133,bath,1.0
398,133,balcony,1.0
399,133,society,Itelaa 
400,134,bath,4.0
401,134,balcony,0.0
402,134,society,
403,135,bath,3.0
404,135,balcony,2.0
405,135,society,Srier P
406,136,bath,2.0
407,136,balcony,1.0
408,136,society,Wiowsri
409,137,bath,2.0
410,137,balcony,1.0
411,137,society,Derdsig
412,138,bath,2.0
413,138,balcony,0.0
414,138,society,Vaarech
415,139,bath,3.0
416,139,balcony,1.0
417,139,society,
418,140,bath,2.0
419,140,balcony,2.0
420,140,society,TiaksAa
421,141,bath,8.0
422,141,balcony,
423,141,society,
424,142,bath,5.0
425,142,balcony,1.0
426,142,society,LedorSa
427,143,bath,3.0
428,143,balcony,1.0
429,143,society,HMwerCo
430,144,bath,2.0
431,144,balcony,1.0
432,144,society,
433,145,bath,2.0
434,145,balcony,1.0
435,145,society,ViensRK
436,146,bath,7.0
437,146,balcony,2.0
438,146,society,
439,147,bath,3.0
440,147,balcony,
441,147,society,Somumys
442,148,bath,2.0
443,148,balcony,1.0
444,148,society,HoiewLa
445,149,bath,3.0
446,149,balcony,3.0
447,149,society,Dwity T
448,150,bath,5.0
449,150,balcony,
450,150,society,
451,151,bath,4.0
452,151,balcony,2.0
453,151,society,Brama P
454,152,bath,2.0
455,152,balcony,1.0
456,152,society,VBownre
457,153,bath,2.0
458,153,balcony,3.0
459,153,society,
460,154,bath,4.0
461,154,balcony,
462,154,society,Betatsi
463,155,bath,2.0
464,155,balcony,2.0
465,155,society,Prcan P
466,156,bath,2.0
467,156,balcony,1.0
468,156,society,Sryalan
469,157,bath,2.0
470,157,balcony,2.0
471,157,society,
472,158,bath,3.0
473,158,balcony,3.0
474,158,society,Soitya 
475,159,bath,3.0
476,159,balcony,1.0
477,159,society,G conTh
478,160,bath,4.0
479,160,balcony,0.0
480,160,society,
481,161,bath,2.0
482,161,balcony,3.0
483,161,society,
484,162,bath,2.0
485,162,balcony,1.0
486,162,society,SStusan
487,163,bath,3.0
488,163,balcony,1.0
489,163,society,ETens G
490,164,bath,4.0
491,164,balcony,2.0
492,164,society,
493,165,bath,3.0
494,165,balcony,1.0
495,165,society,Hohnari
496,166,bath,2.0
497,166,balcony,0.0
498,166,society,Kinuerg
499,167,bath,2.0
500,167,balcony,2.0
501,167,society,Naods W
502,168,bath,2.0
503,168,balcony,1.0
504,168,society,GMown E
505,169,bath,2.0
506,169,balcony,1.0
507,169,society,GMown E
508,170,bath,2.0
509,170,balcony,2.0
510,170,society,Sancyra
511,171,bath,6.0
512,171,balcony,0.0
513,171,society,
514,172,bath,1.0
515,172,balcony,1.0
516,172,society,Jae 1hu
517,173,bath,2.0
518,173,balcony,1.0
519,173,society,Prarkun
520,174,bath,2.0
521,174,balcony,1.0
522,174,society,GMown E
523,175,bath,3.0
524,175,balcony,3.0
525,175,society,Srshq T
526,176,bath,3.0
527,176,balcony,2.0
528,176,society,
529,177,bath,3.0
530,177,balcony,2.0
531,177,society,
532,178,bath,1.0
533,178,balcony,0.0
534,178,society,
535,179,bath,1.0
536,179,balcony,2.0
537,179,society,Utntspa
538,180,bath,1.0
539,180,balcony,1.0
540,180,society,GMown E
541,181,bath,2.0
542,181,balcony,3.0
543,181,society,Aniona 
544,182,bath,3.0
545,182,balcony,2.0
546,182,society,Goateds
547,183,bath,3.0
548,183,balcony,2.0
549,183,society,Soitya 
550,184,bath,3.0
551,184,balcony,2.0
552,184,society,Saahaat
553,185,bath,2.0
554,185,balcony,1.0
555,185,society,GMown E
556,186,bath,3.0
557,186,balcony,2.0
558,186,society,
559,187,bath,2.0
560,187,balcony,2.0
561,187,society,
562,188,bath,2.0
563,188,balcony,1.0
564,188,society,GMown E
565,189,bath,2.0
566,189,balcony,0.0
567,189,society,MCvarar
568,190,bath,2.0
569,190,balcony,2.0
570,190,society,VRave E
571,191,bath,4.0
572,191,balcony,1.0
573,191,society,
574,192,bath,2.0
575,192,balcony,3.0
576,192,society,MaidoPl
577,193,bath,5.0
578,193,balcony,
579,193,society,
580,194,bath,7.0
581,194,balcony,1.0
582,194,society,
583,195,bath,2.0
584,195,balcony,2.0
585,195,society,Aiitya 
586,196,bath,2.0
587,196,balcony,2.0
588,196,society,PuziaVe
589,197,bath,2.0
590,197,balcony,2.0
591,197,society,
592,198,bath,3.0
593,198,balcony,1.0
594,198,society,
595,199,bath,3.0
596,199,balcony,2.0
597,199,society,NRosete
598,200,bath,2.0
599,200,balcony,1.0
600,200,society,
601,201,bath,2.0
602,201,balcony,2.0
603,201,society,
604,202,bath,2.0
605,202,balcony,1.0
606,202,society,
607,203,bath,2.0
608,203,balcony,2.0
609,203,society,Sancya 
610,204,bath,2.0
611,204,balcony,1.0
612,204,society,
613,205,bath,2.0
614,205,balcony,2.0
615,205,society,MSingco
616,206,bath,2.0
617,206,balcony,2.0
618,206,society,Pyikad 
619,207,bath,3.0
620,207,balcony,2.0
621,207,society,CaIRSCr
622,208,bath,2.0
623,208,balcony,1.0
624,208,society,Prcesvy
625,209,bath,2.0
626,209,balcony,2.0
627,209,society,
628,210,bath,6.0
629,210,balcony,0.0
630,210,society,
631,211,bath,4.0
632,211,balcony,1.0
633,211,society,
634,212,bath,3.0
635,212,balcony,2.0
636,212,society,Emstael
637,213,bath,3.0
638,213,balcony,2.0
639,213,society,
640,214,bath,3.0
641,214,balcony,2.0
642,214,society,SNdri N
643,215,bath,3.0
644,215,balcony,3.0
645,215,society,HodhiSa
646,216,bath,2.0
647,216,balcony,1.0
648,216,society,Syonyph
649,217,bath,6.0
650,217,balcony,0.0
651,217,society,
652,218,bath,1.0
653,218,balcony,1.0
654,218,society,Itvir M
655,219,bath,3.0
656,219,balcony,3.0
657,219,society,
658,220,bath,3.0
659,220,balcony,2.0
660,220,society,Klark L
661,221,bath,3.0
662,221,balcony,2.0
663,221,society,Klark L
664,222,bath,2.0
665,222,balcony,3.0
666,222,society,Piityra
667,223,bath,4.0
668,223,balcony,1.0
669,223,society,
670,224,bath,2.0
671,224,balcony,1.0
672,224,society,AsastDe
673,225,bath,
674,225,balcony,
675,225,society,Jurdsig
676,226,bath,4.0
677,226,balcony,2.0
678,226,society,MacleK 
679,227,bath,2.0
680,227,balcony,2.0
681,227,society,Brnia G
682,228,bath,2.0
683,228,balcony,1.0
684,228,society,
685,229,bath,3.0
686,229,balcony,2.0
687,229,society,
688,230,bath,2.0
689,230,balcony,1.0
690,230,society,
691,231,bath,2.0
692,231,balcony,2.0
693,231,society,PrityTr
694,232,bath,2.0
695,232,balcony,2.0
696,232,society,AlEcone
697,233,bath,2.0
698,233,balcony,2.0
699,233,society,Laowsba
700,234,bath,2.0
701,234,balcony,2.0
702,234,society,Saave R
703,235,bath,2.0
704,235,balcony,2.0
705,235,society,Anave S
706,236,bath,2.0
707,236,balcony,1.0
708,236,society,
709,237,bath,2.0
710,237,balcony,2.0
711,237,society,
712,238,bath,3.0
713,238,balcony,1.0
714,238,society,Saityat
715,239,bath,5.0
716,239,balcony,2.0
717,239,society,
718,240,bath,2.0
719,240,balcony,2.0
720,240,society,
721,241,bath,1.0
722,241,balcony,1.0
723,241,society,SunceEs
724,242,bath,8.0
725,242,balcony,2.0
726,242,society,
727,243,bath,1.0
728,243,balcony,1.0
729,243,society,SunceEs
730,244,bath,3.0
731,244,balcony,3.0
732,244,society,SJcerpe
733,245,bath,2.0
734,245,balcony,3.0
735,245,society,Supams 
736,246,bath,3.0
737,246,balcony,1.0
738,246,society,
739,247,bath,2.0
740,247,balcony,1.0
741,247,society,CoapeSo
742,248,bath,3.0
743,248,balcony,1.0
744,248,society,Bisic C
745,249,bath,3.0
746,249,balcony,2.0
747,249,society,Sreat R
748,250,bath,3.0
749,250,balcony,2.0
750,250,society,Inntsa 
751,251,bath,1.0
752,251,balcony,1.0
753,251,society,KHityry
754,252,bath,2.0
755,252,balcony,2.0
756,252,society,
757,253,bath,2.0
758,253,balcony,2.0
759,253,society,BriumMi
760,254,bath,2.0
761,254,balcony,2.0
762,254,society,
763,255,bath,2.0
764,255,balcony,1.0
765,255,society,
766,256,bath,2.0
767,256,balcony,0.0
768,256,society,
769,257,bath,2.0
770,257,balcony,2.0
771,257,society,
772,258,bath,2.0
773,258,balcony,1.0
774,258,society,Prarkun
775,259,bath,5.0
776,259,balcony,
777,259,society,
778,260,bath,3.0
779,260,balcony,2.0
780,260,society,Calyxy 
781,261,bath,3.0
782,261,balcony,2.0
783,261,society,Thessrm
784,262,bath,3.0
785,262,balcony,2.0
786,262,society,JJortom
787,263,bath,2.0
788,263,balcony,2.0
789,263,society,GrrvaGr
790,264,bath,2.0
791,264,balcony,1.0
792,264,society,PrityTr
793,265,bath,2.0
794,265,balcony,2.0
795,265,society,Usquaya
796,266,bath,4.0
797,266,balcony,0.0
798,266,society,Natic T
799,267,bath,3.0
800,267,balcony,2.0
801,267,society,
802,268,bath,2.0
803,268,balcony,2.0
804,268,society,DSapeSk
805,269,bath,1.0
806,269,balcony,1.0
807,269,society,Jahtsa 
808,270,bath,3.0
809,270,balcony,2.0
810,270,society,Prillot
811,271,bath,2.0
812,271,balcony,1.0
813,271,society,
814,272,bath,3.0
815,272,balcony,2.0
816,272,society,Sodgere
817,273,bath,2.0
818,273,balcony,1.0
819,273,society,
820,274,bath,2.0
821,274,balcony,1.0
822,274,society,
823,275,bath,2.0
824,275,balcony,3.0
825,275,society,
826,276,bath,3.0
827,276,balcony,2.0
828,276,society,SoitaCa
829,277,bath,2.0
830,277,balcony,1.0
831,277,society,Soestin
832,278,bath,4.0
833,278,balcony,2.0
834,278,society,Sreat R
835,279,bath,3.0
836,279,balcony,3.0
837,279,society,Alestrb
838,280,bath,3.0
839,280,balcony,3.0
840,280,society,DLhtsen
841,281,bath,2.0
842,281,balcony,1.0
843,281,society,Mauner 
844,282,bath,2.0
845,282,balcony,1.0
846,282,society,Brnia G
847,283,bath,6.0
848,283,balcony,0.0
849,283,society,
850,284,bath,3.0
851,284,balcony,1.0
852,284,society,GaicaVe
853,285,bath,2.0
854,285,balcony,1.0
855,285,society,
856,286,bath,2.0
857,286,balcony,2.0
858,286,society,Saesttt
859,287,bath,2.0
860,287,balcony,1.0
861,287,society,Nae 2El
862,288,bath,2.0
863,288,balcony,2.0
864,288,society,
865,289,bath,2.0
866,289,balcony,2.0
867,289,society,Bhinglv
868,290,bath,2.0
869,290,balcony,2.0
870,290,society,SunceEs
871,291,bath,2.0
872,291,balcony,1.0
873,291,society,GolusLi
874,292,bath,2.0
875,292,balcony,2.0
876,292,society,
877,293,bath,2.0
878,293,balcony,2.0
879,293,society,Coush W
880,294,bath,2.0
881,294,balcony,1.0
882,294,society,Prersis
883,295,bath,2.0
884,295,balcony,1.0
885,295,society,NaensGa
886,296,bath,2.0
887,296,balcony,3.0
888,296,society,Arzzo P
889,297,bath,3.0
890,297,balcony,1.0
891,297,society,
892,298,bath,2.0
893,298,balcony,2.0
894,298,society,SMikaay
895,299,bath,4.0
896,299,balcony,0.0
897,299,society,Prave E
898,300,bath,3.0
899,300,balcony,1.0
900,300,society,
901,301,bath,3.0
902,301,balcony,2.0
903,301,society,Ahriaup
904,302,bath,2.0
905,302,balcony,1.0
906,302,society,Priewhi
907,303,bath,2.0
908,303,balcony,1.0
909,303,society,Shodsth
910,304,bath,3.0
911,304,balcony,0.0
912,304,society,Swadeh 
913,305,bath,3.0
914,305,balcony,2.0
915,305,society,Somumys
916,306,bath,2.0
917,306,balcony,3.0
918,306,society,Soran U
919,307,bath,1.0
920,307,balcony,1.0
921,307,society,PrarePa
922,308,bath,3.0
923,308,balcony,2.0
924,308,society,Puestig
925,309,bath,4.0
926,309,balcony,3.0
927,309,society,Prntsrt
928,310,bath,3.0
929,310,balcony,3.0
930,310,society,Maerar 
931,311,bath,2.0
932,311,balcony,3.0
933,311,society,Vaesh T
934,312,bath,3.0
935,312,balcony,3.0
936,312,society,MaisePa
937,313,bath,2.0
938,313,balcony,1.0
939,313,society,
940,314,bath,3.0
941,314,balcony,3.0
942,314,society,JRrnauv
943,315,bath,2.0
944,315,balcony,2.0
945,315,society,
946,316,bath,5.0
947,316,balcony,2.0
948,316,society,
949,317,bath,2.0
950,317,balcony,2.0
951,317,society,
952,318,bath,2.0
953,318,balcony,2.0
954,318,society,Gotis A
955,319,bath,2.0
956,319,balcony,2.0
957,319,society,
958,320,bath,2.0
959,320,balcony,1.0
960,320,society,Puodse 
961,321,bath,2.0
962,321,balcony,1.0
963,321,society,Mileeou
964,322,bath,2.0
965,322,balcony,1.0
966,322,society,Prarkun
967,323,bath,2.0
968,323,balcony,2.0
969,323,society,
970,324,bath,4.0
971,324,balcony,3.0
972,324,society,
973,325,bath,3.0
974,325,balcony,2.0
975,325,society,PhestOn
976,326,bath,4.0
977,326,balcony,1.0
978,326,society,
979,327,bath,3.0
980,327,balcony,2.0
981,327,society,NRowse 
982,328,bath,2.0
983,328,balcony,2.0
984,328,society,
985,329,bath,2.0
986,329,balcony,2.0
987,329,society,Abncy R
988,330,bath,2.0
989,330,balcony,1.0
990,330,society,Baowsig
991,331,bath,3.0
992,331,balcony,2.0
993,331,society,Itala A
994,332,bath,2.0
995,332,balcony,1.0
996,332,society,
997,333,bath,4.0
998,333,balcony,2.0
999,333,society,
1000,334,bath,2.0
1001,334,balcony,2.0
1002,334,society,HMinebo
1003,335,bath,3.0
1004,335,balcony,2.0
1005,335,society,K borja
1006,336,bath,2.0
1007,336,balcony,1.0
1008,336,society,Oreldhi
1009,337,bath,2.0
1010,337,balcony,2.0
1011,337,society,Sungspr
1012,338,bath,6.0
1013,338,balcony,2.0
1014,338,society,Prtanha
1015,339,bath,3.0
1016,339,balcony,3.0
1017,339,society,
1018,340,bath,2.0
1019,340,balcony,0.0
1020,340,society,
1021,341,bath,2.0
1022,341,balcony,3.0
1023,341,society,
1024,342,bath,2.0
1025,342,balcony,2.0
1026,342,society,Clntsrt
1027,343,bath,2.0
1028,343,balcony,2.0
1029,343,society,PuamaPa
1030,344,bath,3.0
1031,344,balcony,1.0
1032,344,society,Brngsal
1033,345,bath,
1034,345,balcony,
1035,345,society,PrarePa
1036,346,bath,2.0
1037,346,balcony,2.0
1038,346,society,
1039,347,bath,2.0
1040,347,balcony,0.0
1041,347,society,
1042,348,bath,3.0
1043,348,balcony,1.0
1044,348,society,SSestth
1045,349,bath,3.0
1046,349,balcony,0.0
1047,349,society,Vancy R
1048,350,bath,3.0
1049,350,balcony,2.0
1050,350,society,PrhyaK 
1051,351,bath,2.0
1052,351,balcony,1.0
1053,351,society,Miwel M
1054,352,bath,2.0
1055,352,balcony,1.0
1056,352,society,SrEndPo
1057,353,bath,3.0
1058,353,balcony,2.0
1059,353,society,Puens G
1060,354,bath,2.0
1061,354,balcony,3.0
1062,354,society,SagasSa
1063,355,bath,1.0
1064,355,balcony,1.0
1065,355,society,SNbay G
1066,356,bath,3.0
1067,356,balcony,2.0
1068,356,society,
1069,357,bath,3.0
1070,357,balcony,1.0
1071,357,society,
1072,358,bath,2.0
1073,358,balcony,2.0
1074,358,society,
1075,359,bath,5.0
1076,359,balcony,3.0
1077,359,society,Soianal
1078,360,bath,2.0
1079,360,balcony,1.0
1080,360,society,Vrenty 
1081,361,bath,2.0
1082,361,balcony,2.0
1083,361,society,AriosHe
1084,362,bath,3.0
1085,362,balcony,0.0
1086,362,society,
1087,363,bath,4.0
1088,363,balcony,2.0
1089,363,society,
1090,364,bath,1.0
1091,364,balcony,1.0
1092,364,society,
1093,365,bath,2.0
1094,365,balcony,1.0
1095,365,society,SLureSi
1096,366,bath,1.0
1097,366,balcony,0.0
1098,366,society,Siissi 
1099,367,bath,2.0
1100,367,balcony,3.0
1101,367,society,
1102,368,bath,2.0
1103,368,balcony,2.0
1104,368,society,Mangsr 
1105,369,bath,2.0
1106,369,balcony,2.0
1107,369,society,HovasTe
1108,370,bath,2.0
1109,370,balcony,1.0
1110,370,society,Exncene
1111,371,bath,5.0
1112,371,balcony,2.0
1113,371,society,Prersis
1114,372,bath,2.0
1115,372,balcony,2.0
1116,372,society,Shyas S
1117,373,bath,2.0
1118,373,balcony,1.0
1119,373,society,NadelCi
1120,374,bath,3.0
1121,374,balcony,2.0
1122,374,society,Sothadr
1123,375,bath,2.0
1124,375,balcony,2.0
1125,375,society,Dhalsh 
1126,376,bath,2.0
1127,376,balcony,1.0
1128,376,society,Puarent
1129,377,bath,3.0
1130,377,balcony,2.0
1131,377,society,MaionPa
1132,378,bath,1.0
1133,378,balcony,0.0
1134,378,society,Maian M
1135,379,bath,3.0
1136,379,balcony,2.0
1137,379,society,ShstaAl
1138,380,bath,3.0
1139,380,balcony,0.0
1140,380,society,Shard T
1141,381,bath,3.0
1142,381,balcony,2.0
1143,381,society,SoitaCa
1144,382,bath,2.0
1145,382,balcony,
1146,382,society,Neagar 
1147,383,bath,1.0
1148,383,balcony,1.0
1149,383,society,
1150,384,bath,2.0
1151,384,balcony,2.0
1152,384,society,Dhalsh 
1153,385,bath,2.0
1154,385,balcony,1.0
1155,385,society,
1156,386,bath,2.0
1157,386,balcony,1.0
1158,386,society,Wiowsri
1159,387,bath,3.0
1160,387,balcony,2.0
1161,387,society,
1162,388,bath,2.0
1163,388,balcony,0.0
1164,388,society,
1165,389,bath,3.0
1166,389,balcony,2.0
1167,389,society,Saityat
1168,390,bath,2.0
1169,390,balcony,1.0
1170,390,society,Eladero
1171,391,bath,2.0
1172,391,balcony,2.0
1173,391,society,Lancyey
1174,392,bath,2.0
1175,392,balcony,1.0
1176,392,society,Suiseit
1177,393,bath,3.0
1178,393,balcony,3.0
1179,393,society,Aroomba
1180,394,bath,2.0
1181,394,balcony,2.0
1182,394,society,Courf T
1183,395,bath,2.0
1184,395,balcony,1.0
1185,395,society,VMowsea
1186,396,bath,2.0
1187,396,balcony,1.0
1188,396,society,S onsMa
1189,397,bath,2.0
1190,397,balcony,2.0
1191,397,society,Tuentpa
1192,398,bath,3.0
1193,398,balcony,
1194,398,society,
1195,399,bath,2.0
1196,399,balcony,1.0
1197,399,society,Tovesee
1198,400,bath,3.0
1199,400,balcony,1.0
1200,400,society,Vailsaf
1201,401,bath,3.0
1202,401,balcony,2.0
1203,401,society,BrlisCo
1204,402,bath,4.0
1205,402,balcony,1.0
1206,402,society,Haestt 
1207,403,bath,2.0
1208,403,balcony,1.0
1209,403,society,
1210,404,bath,4.0
1211,404,balcony,1.0
1212,404,society,
1213,405,bath,2.0
1214,405,balcony,1.0
1215,405,society,BriumMi
1216,406,bath,2.0
1217,406,balcony,0.0
1218,406,society,
1219,407,bath,2.0
1220,407,balcony,0.0
1221,407,society,
1222,408,bath,3.0
1223,408,balcony,2.0
1224,408,society,PhestOn
1225,409,bath,6.0
1226,409,balcony,3.0
1227,409,society,
1228,410,bath,1.0
1229,410,balcony,1.0
1230,410,society,
1231,411,bath,1.0
1232,411,balcony,0.0
1233,411,society,
1234,412,bath,2.0
1235,412,balcony,
1236,412,society,Hoxiaa 
1237,413,bath,2.0
1238,413,balcony,1.0
1239,413,society,VBvenal
1240,414,bath,7.0
1241,414,balcony,3.0
1242,414,society,
1243,415,bath,3.0
1244,415,balcony,3.0
1245,415,society,JRrnauv
